name,team,location,height,weight,year,country,url,changshu,xianfa,fenzhong,mingzhonglv,sanfen,faqiu,jingong,fanshou,defen,lanban,zhugong,qiangduan,gaimao,shiwu,fangui
Kevin Huerter,老鹰,后卫-前锋,2.01,86.2 公斤,2,美国,https://china.nba.com//players/#!/kevin_huerter,131,107,29.1,41.6,38.3,78.3,0.7,2.9,10.8,3.6,3.3,0.9,0.4,1.5,2.2
Elijah Hughes,爵士,后卫,1.98,97.5 公斤,0,美国,https://china.nba.com//players/#!/elijah_hughes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
De'Andre Hunter,老鹰,前锋-后卫,2.01,102.1 公斤,1,美国,https://china.nba.com//players/#!/deandre_hunter,63,62,32.0,41.0,35.5,76.4,0.7,3.8,12.3,4.5,1.8,0.7,0.3,1.6,2.9
Chandler Hutchison,公牛,前锋-后卫,2.01,95.3 公斤,2,美国,https://china.nba.com//players/#!/chandler_hutchison,72,24,19.8,45.8,29.5,59.5,0.7,3.4,6.2,4.1,0.8,0.7,0.2,0.7,1.5
Serge Ibaka,快船,前锋,2.13,106.6 公斤,11,Republic of the Congo,https://china.nba.com//players/#!/serge_ibaka,808,646,28.6,51.4,36.0,75.8,2.2,5.2,12.6,7.4,0.8,0.4,2.1,1.4,2.8
Andre Iguodala,热火,后卫-前锋,1.98,97.5 公斤,16,美国,https://china.nba.com//players/#!/andre_iguodala,1129,779,33.2,46.5,33.3,70.9,0.9,4.1,12.0,5.1,4.3,1.5,0.5,1.9,1.8
Joe Ingles,爵士,前锋-后卫,2.01,99.8 公斤,6,澳洲,https://china.nba.com//players/#!/joe_ingles,478,268,25.5,44.7,40.7,75.1,0.3,2.9,8.3,3.2,3.6,1.0,0.2,1.6,1.9
Brandon Ingram,鹈鹕,前锋,2.01,86.2 公斤,4,美国,https://china.nba.com//players/#!/brandon_ingram,252,213,32.2,45.9,36.0,72.2,0.8,4.2,16.3,5.1,3.2,0.7,0.6,2.3,2.6
Kyrie Irving,篮网,后卫,1.88,88.5 公斤,9,澳洲,https://china.nba.com//players/#!/kyrie_irving,528,528,33.8,46.6,39.0,87.7,0.8,2.9,22.4,3.7,5.7,1.3,0.4,2.6,2.2
Jonathan Isaac,魔术,前锋,2.11,104.3 公斤,3,美国,https://china.nba.com//players/#!/jonathan_isaac,136,106,25.8,43.5,33.0,79.7,1.3,4.2,9.3,5.5,1.1,1.1,1.5,1.1,2.0
Wes Iwundu,独行侠,前锋,1.98,88.5 公斤,3,美国,https://china.nba.com//players/#!/wes_iwundu,182,46,17.6,41.8,31.9,79.4,0.5,2.0,4.8,2.5,1.0,0.5,0.3,0.6,1.6
Frank Jackson,雷霆,后卫,1.90,93.0 公斤,2,美国,https://china.nba.com//players/#!/frank_jackson,120,18,16.4,42.2,31.9,74.3,0.4,1.4,7.2,1.8,1.1,0.4,0.1,0.8,1.4
Josh Jackson,活塞,后卫-前锋,2.03,93.9 公斤,3,美国,https://china.nba.com//players/#!/josh_jackson,178,64,24.3,41.7,29.8,65.5,1.0,3.3,11.9,4.3,1.9,1.0,0.6,2.0,2.6
Justin Jackson,雷霆,前锋,2.01,99.8 公斤,3,美国,https://china.nba.com//players/#!/justin_jackson,214,58,19.5,43.1,32.4,78.8,0.5,2.1,6.5,2.6,1.0,0.4,0.2,0.4,1.2
Reggie Jackson,快船,后卫,1.90,94.3 公斤,9,美国,https://china.nba.com//players/#!/reggie_jackson,561,348,25.2,42.8,33.7,85.8,0.5,2.4,12.8,3.0,4.4,0.7,0.1,1.9,2.0
Jaren Jackson Jr.,灰熊,前锋-中锋,2.11,109.8 公斤,2,美国,https://china.nba.com//players/#!/jaren_jackson_jr,115,113,27.3,48.5,38.4,75.7,1.1,3.5,15.5,4.6,1.2,0.8,1.5,1.7,3.9
Justin James,国王,后卫-前锋,2.01,86.2 公斤,1,美国,https://china.nba.com//players/#!/justin_james,36,0,6.4,41.7,31.0,47.6,0.2,0.7,2.5,0.9,0.5,0.2,0.3,0.2,0.5
LeBron James,湖人,前锋,2.06,113.4 公斤,17,美国,https://china.nba.com//players/#!/lebron_james,1265,1264,38.4,50.4,34.4,73.4,1.2,6.2,27.1,7.4,7.4,1.6,0.8,3.5,1.8
Amile Jefferson,凯尔特人,前锋,2.06,100.7 公斤,2,美国,https://china.nba.com//players/#!/amile_jefferson,30,0,4.7,50.0,0.0,54.5,0.5,0.9,1.4,1.5,0.2,0.1,0.2,0.1,0.5
DaQuan Jeffries,国王,后卫-前锋,1.96,104.3 公斤,1,美国,https://china.nba.com//players/#!/daquan_jeffries,13,0,10.8,50.0,27.8,83.3,0.2,1.2,3.8,1.4,0.5,0.3,0.1,0.2,1.5
Ty Jerome,雷霆,后卫-前锋,1.96,88.5 公斤,1,美国,https://china.nba.com//players/#!/ty_jerome,31,0,10.6,33.6,28.0,75.0,0.2,1.3,3.3,1.5,1.4,0.5,0.1,0.6,0.9
Isaiah Joe,76人,后卫,1.96,74.8 公斤,0,美国,https://china.nba.com//players/#!/isaiah_joe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alize Johnson,猛龙,前锋,2.01,96.2 公斤,2,美国,https://china.nba.com//players/#!/alize_johnson,31,1,5.9,35.6,40.0,61.1,0.7,1.5,1.5,2.2,0.3,0.1,0.2,0.2,0.6
BJ Johnson,热火,前锋,2.01,90.7 公斤,2,美国,https://china.nba.com//players/#!/bj_johnson,17,0,7.8,36.0,37.5,91.7,0.3,1.1,3.1,1.4,0.2,0.3,0.0,0.5,0.4
Cameron Johnson,太阳,前锋,2.03,95.3 公斤,1,美国,https://china.nba.com//players/#!/cameron_johnson,57,9,22.0,43.5,39.0,80.7,0.9,2.4,8.8,3.3,1.2,0.6,0.4,0.6,1.5
James Johnson,独行侠,前锋,2.01,108.9 公斤,11,美国,https://china.nba.com//players/#!/james_johnson,634,220,20.6,47.7,31.0,69.3,0.8,2.8,8.0,3.6,2.1,0.8,0.9,1.5,2.2
Keldon Johnson,马刺,前锋-后卫,1.96,99.8 公斤,1,美国,https://china.nba.com//players/#!/keldon_johnson,17,1,17.7,59.6,59.1,79.5,0.6,2.8,9.1,3.4,0.9,0.8,0.1,0.8,1.7
Stanley Johnson,猛龙,前锋-后卫,1.98,109.8 公斤,5,美国,https://china.nba.com//players/#!/stanley_johnson,310,64,20.4,37.4,29.3,75.5,0.5,2.7,6.6,3.2,1.4,0.9,0.2,1.2,1.9
Tyler Johnson,篮网,后卫,1.90,84.4 公斤,6,美国,https://china.nba.com//players/#!/tyler_johnson,309,75,25.7,42.9,35.9,77.6,0.6,2.6,10.5,3.2,2.5,0.9,0.4,1.2,1.9
